Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Perú,PER,"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)",SP.DYN.CBRT.IN,47.198,47.046,46.836,46.556,46.196,45.746,45.195,44.556,43.848,43.095,42.335,41.613,40.953,40.365,39.845,39.361,38.863,38.306,37.662,36.934,36.148,35.347,34.582,33.89,33.279,32.743,32.261,31.794,31.311,30.798,30.243,29.643,29.011,28.36,27.7,27.04,26.392,25.767,25.172,24.615,24.1,23.627,23.19,22.785,22.41,22.07,21.769,21.507,21.278,21.072,20.876,20.673,20.452,20.203,19.924,19.615,19.281,,
Perú,PER,"Tasa de mortalidad, adultos, varones (por cada 1.000 varones adultos)",SP.DYN.AMRT.MA,352.838,347.367,341.897,337.371,332.846,328.321,323.796,319.27,311.703,304.135,296.568,289,281.433,276.061,270.69,265.318,259.947,254.575,251.325,248.074,244.824,241.573,238.323,235.219,232.116,229.013,225.91,222.806,220.003,217.199,214.396,211.592,208.789,205.756,202.723,199.689,196.656,193.623,191.181,188.739,186.297,183.855,181.414,178.959,176.504,174.049,171.594,169.139,167.046,164.953,162.861,160.768,158.675,156.916,155.156,153.397,151.637,,
Perú,PER,"Tasa de mortalidad, adultos, mujeres (por cada 1.000 mujeres adultas)",SP.DYN.AMRT.FE,291.233,285.333,279.433,274.61,269.786,264.962,260.138,255.314,247.337,239.359,231.381,223.403,215.426,209.658,203.891,198.124,192.356,186.589,183.253,179.918,176.582,173.246,169.91,166.941,163.972,161.003,158.034,155.065,152.721,150.377,148.034,145.69,143.346,140.412,137.478,134.544,131.61,128.676,126.071,123.465,120.86,118.254,115.649,113.693,111.738,109.782,107.827,105.871,104.472,103.074,101.675,100.277,98.878,97.5,96.121,94.743,93.364,,
Perú,PER,Exhaustividad de la información del total de muertes (% del total de muertes informadas en relación con el total de muertes estimadas),SP.DTH.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.13961081,,,,,,,,,,
Perú,PER,Exhaustividad de la información sobre muertes infantiles (% de muertes infantiles informadas en relación con las muertes infantiles estimadas),SP.DTH.INFR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3214473,44.50913151,,,,,,,,,,
Perú,PER,Tasa de fertilidad en adolescentes (nacimientos por cada 1.000 mujeres entre 15 y 19 años de edad),SP.ADO.TFRT,131.743,131.743,131.743,126.2908,120.8386,115.3864,109.9342,104.482,100.8464,97.2108,93.5752,89.9396,86.304,87.6192,88.9344,90.2496,91.5648,92.88,89.1244,85.3688,81.6132,77.8576,74.102,73.6808,73.2596,72.8384,72.4172,71.996,71.5966,71.1972,70.7978,70.3984,69.999,70.0994,70.1998,70.3002,70.4006,70.501,68.7008,66.9006,65.1004,63.3002,61.5,60.1396,58.7792,57.4188,56.0584,54.698,54.1862,53.6744,53.1626,52.6508,52.139,51.2046,50.2702,49.3358,48.4014,,
Perú,PER,Tasa de cobertura de la suplementación con vitamina A (% de niños entre 6 y 59 meses de edad),SN.ITK.VITA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6,6,,,,,,,,,,,,,,,,
Perú,PER,Consumo de sal iodada (% de hogares),SN.ITK.SALT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,,,,,90.5,,,88.3,,,,,,
Perú,PER,Prevalencia de desnutrición (% de la población),SN.ITK.DEFC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,21.7,22.3,22.6,21.6,19.6,17.6,15.7,14.2,12.6,11.2,10.2,9.5,9.3,9.3,9,8.8,,
Perú,PER,Volúmenes internacionales de migrantes (% de la población),SM.POP.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297915512,,,,,0.23600218,,,,,0.255810611,,,,,0.280839767,,,,,0.286195339,,,,,0.289645141,,,
Perú,PER,"Volúmenes internacionales de migrantes, total",SM.POP.TOTL,66524,,,,,66892,,,,,67104,,,,,67097,,,,,66954,,,,,61845,,,,,65025,,,,,56732,,,,,66293,,,,,77541,,,,,84066,,,,,90881,,,
Perú,PER,Población de refugiados por país o territorio de origen,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,475,727,1970,4332,5904,6696,6610,7066,7206,6944,6502,6430,5581,4769,4865,6985,7743,7339,6271,5834,5491,5212,4768,4343,3599,2609,2578,
Perú,PER,Población de refugiados por país o territorio de asilo,SM.POP.REFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,683,640,738,659,610,663,750,433,702,687,683,688,718,766,848,911,995,1075,1108,1146,1144,1122,1162,1303,1488,1649,1758,
Perú,PER,Migración neta,SM.POP.NETM,,,-30000,,,,,-50003,,,,,-87999,,,,,-98998,,,,,-117998,,,,,-185001,,,,,-293999,,,,,-540001,,,,,-634999,,,,,-489999,,,,,-240000,,,,,-179540,
Perú,PER,"Niños que trabajan, trabajadores con salario (% de niños y niñas que trabajan, de 7 a 14 años)",SL.WAG.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,,,,,,,,,,,
Perú,PER,"Niños que trabajan, trabajadores con salario, varones (% de niños que trabajan, de 7 a 14 años)",SL.WAG.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,,,,,,,,,,,
Perú,PER,"Niños que trabajan, trabajadores con salario, mujeres (% de niñas que trabajan, de 7 a 14 años)",SL.WAG.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,,,,,,,,,,,
Perú,PER,"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.835999966,6.195000172,5.44299984,4.931000233,5.173999786,5.80700016,5.302999973,6.22300005,6.004000187,5.757999897,6.078000069,5.800000191,4.789999962,4.900000095,4.860000134,4.260000229,4.190000057,4.059999943,3.900000095,3.480000019,3.440000057,3.109999895,3.24000001,2.960000038,3,3.529999971,3.59100008,3.638000011
